| Threshold | Scale factor | Min. neighbors | Precision | Recall |
| 0.04 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.04 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.04 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.04 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.04 | 1.10 | 4.00 | 0.73 | 0.45 |
| 0.04 | 1.15 | 1.00 | 0.73 | 0.45 |
| 0.04 | 1.15 | 2.00 | 0.74 | 0.44 |
| 0.04 | 1.15 | 3.00 | 0.75 | 0.43 |
| 0.04 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.04 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.04 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.04 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.04 | 1.20 | 4.00 | 0.78 | 0.39 |
| 0.04 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.04 | 1.25 | 2.00 | 0.79 | 0.38 |
| 0.04 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.04 | 1.25 | 4.00 | 0.80 | 0.36 |
| 0.04 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.04 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.04 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.04 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.05 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.05 | 1.05 | 2.00 | 0.60 | 0.57 |
| 0.05 | 1.05 | 3.00 | 0.64 | 0.53 |
| 0.05 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.05 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.05 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.05 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.05 | 1.10 | 4.00 | 0.73 | 0.45 |
| 0.05 | 1.15 | 1.00 | 0.73 | 0.45 |
| 0.05 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.05 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.05 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.05 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.05 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.05 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.05 | 1.20 | 4.00 | 0.78 | 0.38 |
| 0.05 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.05 | 1.25 | 2.00 | 0.79 | 0.38 |
| 0.05 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.05 | 1.25 | 4.00 | 0.80 | 0.36 |
| 0.05 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.05 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.05 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.05 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.06 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.06 | 1.05 | 2.00 | 0.60 | 0.57 |
| 0.06 | 1.05 | 3.00 | 0.64 | 0.53 |
| 0.06 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.06 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.06 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.06 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.06 | 1.10 | 4.00 | 0.73 | 0.45 |
| 0.06 | 1.15 | 1.00 | 0.73 | 0.45 |
| 0.06 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.06 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.06 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.06 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.06 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.06 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.06 | 1.20 | 4.00 | 0.78 | 0.38 |
| 0.06 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.06 | 1.25 | 2.00 | 0.79 | 0.38 |
| 0.06 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.06 | 1.25 | 4.00 | 0.80 | 0.36 |
| 0.06 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.06 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.06 | 1.30 | 3.00 | 0.80 | 0.35 |
