| Threshold | Scale factor | Min. neighbors | Precision | Recall |
| 0.18 | 1.05 | 2.00 | 0.58 | 0.57 |
| 0.18 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.18 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.18 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.18 | 1.10 | 2.00 | 0.68 | 0.48 |
| 0.18 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.18 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.18 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.18 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.18 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.18 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.18 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.18 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.18 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.18 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.18 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.18 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.18 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.18 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.18 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.18 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.18 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.18 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.19 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.19 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.19 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.19 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.19 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.19 | 1.10 | 2.00 | 0.68 | 0.48 |
| 0.19 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.19 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.19 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.19 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.19 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.19 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.19 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.19 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.19 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.19 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.19 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.19 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.19 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.19 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.19 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.19 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.19 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.19 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.20 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.20 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.20 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.20 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.20 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.20 | 1.10 | 2.00 | 0.68 | 0.48 |
| 0.20 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.20 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.20 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.20 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.20 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.20 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.20 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.20 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.20 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.20 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.20 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.20 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.20 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.20 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.20 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.20 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.20 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.20 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.21 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.21 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.21 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.21 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.21 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.21 | 1.10 | 2.00 | 0.68 | 0.48 |
| 0.21 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.21 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.21 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.21 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.21 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.21 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.21 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.21 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.21 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.21 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.21 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.21 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.21 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.21 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.21 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.21 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.21 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.21 | 1.30 | 4.00 | 0.80 | 0.33 |
| 0.22 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.22 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.22 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.22 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.22 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.22 | 1.10 | 2.00 | 0.68 | 0.48 |
| 0.22 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.22 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.22 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.22 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.22 | 1.15 | 3.00 | 0.73 | 0.43 |
| 0.22 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.22 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.22 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.22 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.22 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.22 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.22 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.22 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.22 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.22 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.22 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.22 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.22 | 1.30 | 4.00 | 0.80 | 0.33 |
| 0.23 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.23 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.23 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.23 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.23 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.23 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.23 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.23 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.23 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.23 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.23 | 1.15 | 3.00 | 0.73 | 0.43 |
| 0.23 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.23 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.23 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.23 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.23 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.23 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.23 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.23 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.23 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.23 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.23 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.23 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.23 | 1.30 | 4.00 | 0.80 | 0.33 |
| 0.24 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.24 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.24 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.24 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.24 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.24 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.24 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.24 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.24 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.24 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.24 | 1.15 | 3.00 | 0.73 | 0.43 |
| 0.24 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.24 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.24 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.24 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.24 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.24 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.24 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.24 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.24 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.24 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.24 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.24 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.24 | 1.30 | 4.00 | 0.80 | 0.33 |
| 0.25 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.25 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.25 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.25 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.25 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.25 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.25 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.25 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.25 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.25 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.25 | 1.15 | 3.00 | 0.73 | 0.43 |
| 0.25 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.25 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.25 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.25 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.25 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.25 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.25 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.25 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.25 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.25 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.25 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.25 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.25 | 1.30 | 4.00 | 0.80 | 0.33 |
| 0.26 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.26 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.26 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.26 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.26 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.26 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.26 | 1.10 | 3.00 | 0.69 | 0.47 |
| 0.26 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.26 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.26 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.26 | 1.15 | 3.00 | 0.73 | 0.43 |
| 0.26 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.26 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.26 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.26 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.26 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.26 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.26 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.26 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.26 | 1.25 | 4.00 | 0.78 | 0.36 |
| 0.26 | 1.30 | 1.00 | 0.79 | 0.35 |
| 0.26 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.26 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.26 | 1.30 | 4.00 | 0.80 | 0.33 |
| 0.27 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.27 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.27 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.27 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.27 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.27 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.27 | 1.10 | 3.00 | 0.69 | 0.47 |
| 0.27 | 1.10 | 4.00 | 0.71 | 0.45 |
| 0.27 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.27 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.27 | 1.15 | 3.00 | 0.73 | 0.42 |
| 0.27 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.27 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.27 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.27 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.27 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.27 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.27 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.27 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.27 | 1.25 | 4.00 | 0.78 | 0.36 |
| 0.27 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.27 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.27 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.27 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.28 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.28 | 1.05 | 2.00 | 0.58 | 0.56 |
| 0.28 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.28 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.28 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.28 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.28 | 1.10 | 3.00 | 0.69 | 0.46 |
| 0.28 | 1.10 | 4.00 | 0.71 | 0.44 |
| 0.28 | 1.15 | 1.00 | 0.71 | 0.45 |
| 0.28 | 1.15 | 2.00 | 0.72 | 0.44 |
| 0.28 | 1.15 | 3.00 | 0.73 | 0.42 |
| 0.28 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.28 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.28 | 1.20 | 2.00 | 0.75 | 0.40 |
| 0.28 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.28 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.28 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.28 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.28 | 1.25 | 3.00 | 0.78 | 0.37 |
| 0.28 | 1.25 | 4.00 | 0.78 | 0.36 |
| 0.28 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.28 | 1.30 | 2.00 | 0.79 | 0.35 |
| 0.28 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.28 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.29 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.29 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.29 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.29 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.29 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.29 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.29 | 1.10 | 3.00 | 0.69 | 0.46 |
| 0.29 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.29 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.29 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.29 | 1.15 | 3.00 | 0.73 | 0.42 |
| 0.29 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.29 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.29 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.29 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.29 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.29 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.29 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.29 | 1.25 | 3.00 | 0.78 | 0.36 |
| 0.29 | 1.25 | 4.00 | 0.78 | 0.36 |
| 0.29 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.29 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.29 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.29 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.30 | 1.05 | 1.00 | 0.52 | 0.62 |
| 0.30 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.30 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.30 | 1.05 | 4.00 | 0.65 | 0.49 |
| 0.30 | 1.10 | 1.00 | 0.65 | 0.50 |
| 0.30 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.30 | 1.10 | 3.00 | 0.69 | 0.46 |
| 0.30 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.30 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.30 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.30 | 1.15 | 3.00 | 0.73 | 0.42 |
| 0.30 | 1.15 | 4.00 | 0.74 | 0.41 |
| 0.30 | 1.20 | 1.00 | 0.74 | 0.41 |
| 0.30 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.30 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.30 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.30 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.30 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.30 | 1.25 | 3.00 | 0.78 | 0.36 |
| 0.30 | 1.25 | 4.00 | 0.78 | 0.36 |
| 0.30 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.30 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.30 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.30 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.31 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.31 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.31 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.31 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.31 | 1.10 | 1.00 | 0.64 | 0.50 |
| 0.31 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.31 | 1.10 | 3.00 | 0.69 | 0.46 |
| 0.31 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.31 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.31 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.31 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.31 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.31 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.31 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.31 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.31 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.31 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.31 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.31 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.31 | 1.25 | 4.00 | 0.78 | 0.35 |
| 0.31 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.31 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.31 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.31 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.32 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.32 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.32 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.32 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.32 | 1.10 | 1.00 | 0.64 | 0.49 |
| 0.32 | 1.10 | 2.00 | 0.67 | 0.48 |
| 0.32 | 1.10 | 3.00 | 0.69 | 0.46 |
| 0.32 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.32 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.32 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.32 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.32 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.32 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.32 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.32 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.32 | 1.20 | 4.00 | 0.76 | 0.38 |
| 0.32 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.32 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.32 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.32 | 1.25 | 4.00 | 0.78 | 0.35 |
| 0.32 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.32 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.32 | 1.30 | 3.00 | 0.79 | 0.34 |
| 0.32 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.33 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.33 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.33 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.33 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.33 | 1.10 | 1.00 | 0.64 | 0.49 |
| 0.33 | 1.10 | 2.00 | 0.66 | 0.48 |
| 0.33 | 1.10 | 3.00 | 0.68 | 0.46 |
| 0.33 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.33 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.33 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.33 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.33 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.33 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.33 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.33 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.33 | 1.20 | 4.00 | 0.75 | 0.38 |
| 0.33 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.33 | 1.25 | 2.00 | 0.77 | 0.37 |
| 0.33 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.33 | 1.25 | 4.00 | 0.78 | 0.35 |
| 0.33 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.33 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.33 | 1.30 | 3.00 | 0.78 | 0.34 |
| 0.33 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.34 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.34 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.34 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.34 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.34 | 1.10 | 1.00 | 0.64 | 0.49 |
| 0.34 | 1.10 | 2.00 | 0.66 | 0.48 |
| 0.34 | 1.10 | 3.00 | 0.68 | 0.46 |
| 0.34 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.34 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.34 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.34 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.34 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.34 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.34 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.34 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.34 | 1.20 | 4.00 | 0.75 | 0.38 |
| 0.34 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.34 | 1.25 | 2.00 | 0.76 | 0.37 |
| 0.34 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.34 | 1.25 | 4.00 | 0.78 | 0.35 |
| 0.34 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.34 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.34 | 1.30 | 3.00 | 0.78 | 0.34 |
| 0.34 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.35 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.35 | 1.05 | 2.00 | 0.57 | 0.56 |
| 0.35 | 1.05 | 3.00 | 0.61 | 0.52 |
| 0.35 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.35 | 1.10 | 1.00 | 0.64 | 0.49 |
| 0.35 | 1.10 | 2.00 | 0.66 | 0.48 |
| 0.35 | 1.10 | 3.00 | 0.68 | 0.46 |
| 0.35 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.35 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.35 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.35 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.35 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.35 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.35 | 1.20 | 2.00 | 0.74 | 0.40 |
| 0.35 | 1.20 | 3.00 | 0.75 | 0.39 |
| 0.35 | 1.20 | 4.00 | 0.75 | 0.38 |
| 0.35 | 1.25 | 1.00 | 0.76 | 0.38 |
| 0.35 | 1.25 | 2.00 | 0.76 | 0.37 |
| 0.35 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.35 | 1.25 | 4.00 | 0.78 | 0.35 |
| 0.35 | 1.30 | 1.00 | 0.78 | 0.35 |
| 0.35 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.35 | 1.30 | 3.00 | 0.78 | 0.34 |
| 0.35 | 1.30 | 4.00 | 0.79 | 0.33 |
| 0.36 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.36 | 1.05 | 2.00 | 0.56 | 0.56 |
| 0.36 | 1.05 | 3.00 | 0.60 | 0.51 |
| 0.36 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.36 | 1.10 | 1.00 | 0.64 | 0.49 |
